Date,Y,Lag_1,Lag_2,Lag_3
2013-01-07,2.289333,2.293333,2.318,2.357333
2013-01-08,2.245333,2.289333,2.293333,2.318
2013-01-09,2.242667,2.245333,2.289333,2.293333
2013-01-10,2.235333,2.242667,2.245333,2.289333
2013-01-11,2.194,2.235333,2.242667,2.245333
2013-01-14,2.217333,2.194,2.235333,2.242667
2013-01-15,2.26,2.217333,2.194,2.235333
2013-01-16,2.273333,2.26,2.217333,2.194
2013-01-17,2.292,2.273333,2.26,2.217333
2013-01-18,2.301333,2.292,2.273333,2.26
2013-01-22,2.346,2.301333,2.292,2.273333
2013-01-23,2.4,2.346,2.301333,2.292
2013-01-24,2.466,2.4,2.346,2.301333
2013-01-25,2.465333,2.466,2.4,2.346
2013-01-28,2.535333,2.465333,2.466,2.4
2013-01-29,2.53,2.535333,2.465333,2.466
2013-01-30,2.501333,2.53,2.535333,2.465333
2013-01-31,2.500667,2.501333,2.53,2.535333
2013-02-01,2.553333,2.500667,2.501333,2.53
2013-02-04,2.516,2.553333,2.500667,2.501333
2013-02-05,2.542,2.516,2.553333,2.500667
2013-02-06,2.611333,2.542,2.516,2.553333
2013-02-07,2.632,2.611333,2.542,2.516
2013-02-08,2.616,2.632,2.611333,2.542
2013-02-11,2.561333,2.616,2.632,2.611333
2013-02-12,2.526,2.561333,2.616,2.632
2013-02-13,2.563333,2.526,2.561333,2.616
2013-02-14,2.551333,2.563333,2.526,2.561333
2013-02-15,2.469333,2.551333,2.563333,2.526
2013-02-19,2.618667,2.469333,2.551333,2.563333
2013-02-20,2.569333,2.618667,2.469333,2.551333
2013-02-21,2.344,2.569333,2.618667,2.469333
2013-02-22,2.407333,2.344,2.569333,2.618667
2013-02-25,2.292,2.407333,2.344,2.569333
2013-02-26,2.295333,2.292,2.407333,2.344
2013-02-27,2.34,2.295333,2.292,2.407333
2013-02-28,2.322,2.34,2.295333,2.292
2013-03-01,2.31,2.322,2.34,2.295333
2013-03-04,2.372,2.31,2.322,2.34
2013-03-05,2.443333,2.372,2.31,2.322
2013-03-06,2.512667,2.443333,2.372,2.31
2013-03-07,2.548667,2.512667,2.443333,2.372
2013-03-08,2.564667,2.548667,2.512667,2.443333
2013-03-11,2.606667,2.564667,2.548667,2.512667
2013-03-12,2.608,2.606667,2.564667,2.548667
2013-03-13,2.598667,2.608,2.606667,2.564667
2013-03-14,2.456667,2.598667,2.608,2.606667
2013-03-15,2.352667,2.456667,2.598667,2.608
2013-03-18,2.343333,2.352667,2.456667,2.598667
2013-03-19,2.338667,2.343333,2.352667,2.456667
2013-03-20,2.396667,2.338667,2.343333,2.352667
2013-03-21,2.400667,2.396667,2.338667,2.343333
2013-03-22,2.441333,2.400667,2.396667,2.338667
2013-03-25,2.502,2.441333,2.400667,2.396667
2013-03-26,2.524,2.502,2.441333,2.400667
2013-03-27,2.544,2.524,2.502,2.441333
2013-03-28,2.526,2.544,2.524,2.502
2013-04-01,2.928667,2.526,2.544,2.524
2013-04-02,2.956,2.928667,2.526,2.544
2013-04-03,2.74,2.956,2.928667,2.526
2013-04-04,2.800667,2.74,2.956,2.928667
2013-04-05,2.758,2.800667,2.74,2.956
2013-04-08,2.788667,2.758,2.800667,2.74
2013-04-09,2.7,2.788667,2.758,2.800667
2013-04-10,2.790667,2.7,2.788667,2.758
2013-04-11,2.906,2.790667,2.7,2.788667
2013-04-12,2.916667,2.906,2.790667,2.7
2013-04-15,2.886667,2.916667,2.906,2.790667
2013-04-16,3.039333,2.886667,2.916667,2.906
2013-04-17,3.03,3.039333,2.886667,2.916667
2013-04-18,3.131333,3.03,3.039333,2.886667
2013-04-19,3.188667,3.131333,3.03,3.039333
2013-04-22,3.346,3.188667,3.131333,3.03
2013-04-23,3.400667,3.346,3.188667,3.131333
2013-04-24,3.362,3.400667,3.346,3.188667
2013-04-25,3.466667,3.362,3.400667,3.346
2013-04-26,3.413333,3.466667,3.362,3.400667
2013-04-29,3.662667,3.413333,3.466667,3.362
2013-04-30,3.599333,3.662667,3.413333,3.466667
2013-05-01,3.552,3.599333,3.662667,3.413333
2013-05-02,3.607333,3.552,3.599333,3.662667
2013-05-03,3.636667,3.607333,3.552,3.599333
2013-05-06,3.966667,3.636667,3.607333,3.552
2013-05-07,3.700667,3.966667,3.636667,3.607333
2013-05-08,3.719333,3.700667,3.966667,3.636667
2013-05-09,4.626667,3.719333,3.700667,3.966667
2013-05-10,5.117333,4.626667,3.719333,3.700667
2013-05-13,5.853333,5.117333,4.626667,3.719333
2013-05-14,5.549333,5.853333,5.117333,4.626667
2013-05-15,5.656,5.549333,5.853333,5.117333
2013-05-16,6.15,5.656,5.549333,5.853333
2013-05-17,6.1,6.15,5.656,5.549333
2013-05-20,5.996,6.1,6.15,5.656
2013-05-21,5.839333,5.996,6.1,6.15
2013-05-22,5.816,5.839333,5.996,6.1
2013-05-23,6.182,5.816,5.839333,5.996
2013-05-24,6.472,6.182,5.816,5.839333
2013-05-28,7.355333,6.472,6.182,5.816
2013-05-29,6.975333,7.355333,6.472,6.182
2013-05-30,6.996667,6.975333,7.355333,6.472
2013-05-31,6.517333,6.996667,6.975333,7.355333
2013-06-03,6.172667,6.517333,6.996667,6.975333
2013-06-04,6.322667,6.172667,6.517333,6.996667
2013-06-05,6.358,6.322667,6.172667,6.517333
2013-06-06,6.49,6.358,6.322667,6.172667
2013-06-07,6.802667,6.49,6.358,6.322667
2013-06-10,6.67,6.802667,6.49,6.358
2013-06-11,6.298,6.67,6.802667,6.49
2013-06-12,6.515333,6.298,6.67,6.802667
2013-06-13,6.545333,6.515333,6.298,6.67
2013-06-14,6.686667,6.545333,6.515333,6.298
2013-06-17,6.813333,6.686667,6.545333,6.515333
2013-06-18,6.892667,6.813333,6.686667,6.545333
2013-06-19,6.978667,6.892667,6.813333,6.686667
2013-06-20,6.71,6.978667,6.892667,6.813333
2013-06-21,6.636667,6.71,6.978667,6.892667
2013-06-24,6.766,6.636667,6.71,6.978667
